kde_prob_mean,kde_prob_night_mean,dist_to_centroid_mean,step_median,mean_speed,accelerate,turning_angle_max,turning_angle_median,is_night,is_outside
25429,54857,15623,3149,5718,5373,6634,6634,65535,0
34133,35763,10397,6313,11293,6659,9113,9113,65535,0
42340,32475,9257,1623,2906,10026,25016,25016,0,0
42809,32102,9152,172,306,3095,0,0,0,0
38318,29658,7563,2822,5057,5684,1109,1109,0,0
37153,29740,7266,375,669,5226,10797,10797,0,0
28735,29530,6528,1423,2513,2174,7367,7367,0,0
22823,28760,5712,1274,2310,245,6616,6616,65535,0
18948,28354,4991,1248,2230,96,1183,1183,65535,0
15270,28109,8079,3623,6482,5080,35062,35062,65535,0
14927,29737,10765,5646,10111,4340,20540,20540,65535,0
43374,53298,15238,5219,9332,930,25722,25722,65535,0
44888,47129,16134,2563,4574,5670,19909,19909,65535,0
49906,48929,15595,739,1318,3877,28971,28971,65535,0
55098,51437,13829,2380,4254,3505,1620,1620,0,0
55917,51885,14082,477,850,4047,59430,59430,0,0
55817,51555,14097,124,221,750,0,0,0,0
55200,51375,13874,360,648,512,18457,18457,0,0
54791,53387,13614,919,1637,1176,43180,43180,0,0
48682,53752,15412,2712,4884,3906,21440,21440,65535,0
25441,38710,18138,3050,5391,597,9651,9651,65535,0
26444,44853,17680,2496,4496,1076,33884,33884,65535,0
5793,12415,17465,6508,11654,8560,1391,1391,65535,1
16362,23274,15182,3349,5928,6768,21688,21688,65535,0
16444,23339,15182,17,31,7109,0,0,65535,0
23990,27322,14417,1477,2640,3112,12823,12823,65535,0
41186,30942,12576,3843,6893,5095,1983,1983,0,0
40134,30212,12591,424,755,7302,56878,56878,0,0
41441,31217,12778,343,615,168,51308,51308,0,0
42136,33304,13521,1037,1858,1488,4788,4788,0,0
37424,32194,14023,1073,1912,64,8665,8665,0,0
37024,32111,14099,86,153,2102,0,0,65535,0
28762,27112,13663,1572,2796,3140,35585,35585,65535,0
18338,29475,6863,7426,13373,12719,27029,27029,65535,0
12136,27426,4665,3142,5603,9252,10920,10920,65535,0
13016,27698,3455,3280,5864,311,35758,35758,65535,0
22031,28489,5333,6415,11468,6690,8374,8374,65535,0
32751,29709,6706,2099,3724,9176,5505,5505,65535,0
44347,30146,8291,2717,4897,1412,7168,7168,0,0
44140,30443,8539,315,565,5182,4343,4343,0,0
45392,29917,7380,1293,2302,2065,50393,50393,0,0
45217,29880,7334,78,139,2588,0,0,0,0
45199,29841,7263,231,414,329,0,0,0,0
36924,28019,5811,1691,3017,3101,19463,19463,65535,0
37471,29727,8240,2943,5258,2673,45934,45934,65535,0
26580,24900,4894,3815,6810,1849,53115,53115,65535,0
19822,24995,3332,2056,3691,3739,17846,17846,65535,0
45978,30158,7648,4778,4238,324,45023,45023,65535,0
45413,29915,7370,354,641,4344,52060,52060,65535,0
45013,29877,7369,277,496,174,20553,20553,0,0
45504,29943,7409,286,509,15,62471,62471,0,0
45899,30114,7586,290,518,11,11331,11331,0,0
45794,30051,7549,176,313,244,0,0,0,0
38167,28254,6945,2067,3729,4114,51710,51710,0,0
7039,11814,6511,8914,15966,14635,10231,10231,65535,0
5548,14438,9828,5190,9264,7989,1338,1338,65535,1
4681,13114,11968,2423,4325,5886,18921,18921,65535,1
6008,15311,10081,2430,4359,40,60025,60025,65535,1
7338,17329,9823,1644,2943,1693,14735,14735,65535,0
10784,19773,9205,3303,5891,3511,5423,5423,65535,0
30208,25599,12652,4909,8763,3424,16170,16170,65535,0
32648,26454,12482,712,1268,8911,26712,26712,0,0
28613,28040,10111,3099,5572,5169,17012,17012,0,0
28506,30771,10074,1084,1923,4323,17347,17347,0,0
33503,33425,11149,1176,2125,244,30905,30905,0,0
35853,35519,12608,1593,2842,855,1304,1304,0,0
36161,29991,13834,2794,4983,2550,24329,24329,65535,0
38311,39349,17846,4384,7806,3356,19852,19852,65535,0
24769,35840,19515,2451,4388,4086,16829,16829,65535,0
24110,35277,19218,456,818,4279,34886,34886,65535,0
35684,38113,17426,2379,4249,4092,28455,28455,65535,0
36272,37288,16993,480,860,4052,9577,9577,65535,0
35763,38059,17391,441,784,90,65351,65351,65535,0
37775,33214,15890,2647,4768,4791,51466,51466,0,0
28515,28426,10066,6823,12200,8875,26214,26214,0,0
28389,25366,11202,2438,4352,9355,51736,51736,0,0
31454,26803,13629,2677,4785,517,16683,16683,0,0
43304,40423,19927,6877,12276,8929,2812,2812,0,0
37939,45258,22503,2886,5155,8495,5159,5159,65535,0
24621,29519,24312,4181,7493,2797,28517,28517,65535,0
18025,25753,23345,2151,3837,4354,23072,23072,65535,0
18423,24880,23832,532,936,3412,42288,42288,65535,0
18230,24677,23864,88,161,941,0,0,65535,0
16699,25802,22984,1013,1780,1900,34889,34889,65535,0
38209,39792,20607,4246,7720,7212,24501,24501,65535,0
40774,43148,21353,2381,4263,4132,18364,18364,0,0
39757,44395,21732,456,814,4111,15334,15334,0,0
38691,45418,21907,403,719,113,13667,13667,0,0
39735,42893,21808,1176,2108,1664,57566,57566,0,0
33536,49529,22883,2552,4562,2929,57994,57994,0,0
33340,42057,23728,3026,5387,981,49430,49430,65535,0
33430,42451,23792,106,190,6221,0,0,65535,0
26730,33828,28708,6000,10611,12308,28593,28593,65535,0
18781,29698,30035,1474,2656,9570,4768,4768,65535,0
21672,33621,30283,892,1599,1265,30518,30518,65535,0
36658,41515,28643,2262,4011,2856,26069,26069,65535,0
40060,42924,27774,1198,2133,2233,726,726,65535,0
40107,43300,27470,417,758,1669,448,448,0,0
39645,43712,27260,365,647,132,4854,4854,0,0
38374,44332,27053,493,887,289,3890,3890,0,0
39564,43684,27404,535,957,83,58867,58867,0,0
39799,43413,27616,277,494,551,3925,3925,0,0
40010,43360,27549,140,251,290,0,0,65535,0
36307,44800,25944,1829,1632,823,27266,27266,65535,0
30847,50289,25108,2069,3699,2468,16245,16245,65535,0
34217,38984,20282,6893,12422,10499,36869,36869,65535,0
33693,38032,21042,916,1606,12661,58214,58214,65535,0
34449,38170,21443,596,1079,637,6830,6830,65535,0
35499,35442,13118,9929,17837,20104,56762,56762,0,0
29197,29774,10165,3262,5853,14358,14074,14074,0,0
34549,32993,11385,1362,2404,4066,64546,64546,0,0
35402,33058,11663,325,587,2189,11920,11920,0,0
29135,39096,12518,3603,6357,6798,37585,37585,0,0
24332,33838,14125,1794,3207,3761,19873,19873,65535,0
22205,27951,15774,1988,3584,453,5567,5567,65535,0
28276,33801,12544,3669,6598,3620,51782,51782,65535,0
18626,33674,7758,5431,9700,3700,2029,2029,65535,0
13184,27972,3272,6820,12191,2973,1483,1483,65535,0
12941,29423,8132,5906,10562,1946,23171,23171,65535,0
13240,29655,7875,281,503,12028,59605,59605,65535,0
37874,29754,7008,9153,16323,18839,18393,18393,0,0
39677,29733,6997,306,549,18900,11685,11685,0,0
40862,29696,6920,277,494,65,6392,6392,0,0
40608,29505,6592,428,765,323,14954,14954,0,0
23487,25603,3946,3188,5698,5889,5527,5527,0,0
13682,28593,2618,5483,9747,4806,23643,23643,65535,0
9755,20812,11167,9368,16844,8522,15453,15453,65535,0
15480,28575,12165,3605,6450,12418,30184,30184,65535,0
28879,39080,17691,7265,12979,7790,8468,8468,65535,0
42269,45811,16390,1718,1539,6842,43648,43648,65535,0
54471,49917,14874,2161,3866,2780,736,736,65535,0
55119,51323,13860,1279,2276,1890,4910,4910,0,0
55178,50848,14001,185,328,2315,0,0,0,0
55395,51963,13829,426,767,529,54568,54568,0,0
